piece	acte	scene	replique	id	nom	texte	didascalie
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	39	SGANARELLE	SGANARELLE	Ma chère moitié, vous avez envie de me dérober quelque chose.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	40	MARTINE	MARTINE	Crois-tu que je m'épouvante de tes paroles ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	41	SGANARELLE	SGANARELLE	Doux objet de mes voeux, je vous frotterai les oreilles.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	42	MARTINE	MARTINE	Ivrogne que tu es.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	43	SGANARELLE	SGANARELLE	Je vous battrai.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	44	MARTINE	MARTINE	Sac à vin.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	45	SGANARELLE	SGANARELLE	Je vous rosserai.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	46	MARTINE	MARTINE	Infâme.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	47	SGANARELLE	SGANARELLE	Je vous étrillerai.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	48	MARTINE	MARTINE	Traître, insolent, trompeur, lâche, coquin, pendard, gueux, belître, fripon, maraud, voleur...	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	49	SGANARELLE	SGANARELLE	<didascalie>Il prend un bâton et lui en donne.</didascalie>Ah ! Vous en voulez, donc.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	50	MARTINE	MARTINE	Ah, ah, ah, ah !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	I	51	SGANARELLE	SGANARELLE	Voilà le vrai moyen de vous apaiser.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	52	MONSIEUR-ROBERT	MONSIEUR ROBERT	Holà, holà, holà, fi, qu'est-ce ci ? Quelle infamie peste, soit le coquin, de battre ainsi sa femme !	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	53	MARTINE	MARTINE	<didascalie>Les mains sur les côtés, lui parle en le faisant reculer, et à la fin, lui donne un soufflet.</didascalie>Et je veux qu'il me batte, moi.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	54	MONSIEUR-ROBERT	MONSIEUR ROBERT	Ah ! J'y consens de tout mon coeur.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	55	MARTINE	MARTINE	De quoi vous mêlez-vous ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	56	MONSIEUR-ROBERT	MONSIEUR ROBERT	J'ai tort.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	57	MARTINE	MARTINE	Est-ce là votre affaire ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	58	MONSIEUR-ROBERT	MONSIEUR ROBERT	Vous avez raison.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	59	MARTINE	MARTINE	Voyez un peu cet impertinent, qui veut empêcher les maris de battre leurs femmes.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	60	MONSIEUR-ROBERT	MONSIEUR ROBERT	Je me rétracte.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	61	MARTINE	MARTINE	Qu'avez-vous à voir là-dessus ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	62	MONSIEUR-ROBERT	MONSIEUR ROBERT	Rien.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	63	MARTINE	MARTINE	Est-ce à vous, d'y mettre le nez ?	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	64	MONSIEUR-ROBERT	MONSIEUR ROBERT	Non.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	65	MARTINE	MARTINE	Mêlez-vous de vos affaires.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	66	MONSIEUR-ROBERT	MONSIEUR ROBERT	Je ne dis plus mot.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	67	MARTINE	MARTINE	Il me plaît d'être battue.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	68	MONSIEUR-ROBERT	MONSIEUR ROBERT	D'accord.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	69	MARTINE	MARTINE	Ce n'est pas à vos dépens.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	70	MONSIEUR-ROBERT	MONSIEUR ROBERT	Il est vrai.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	71	MARTINE	MARTINE	Et vous êtes un sot de venir vous fourrer où vous n'avez que faire.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	72	MONSIEUR-ROBERT	MONSIEUR ROBERT	<didascalie>Il passe, ensuite, vers le mari, qui, pareillement, lui parle toujours en le faisant reculer : le frappe avec le même bâton et le met en fuite ; il dit à la fin.</didascalie>Compère, je vous demande pardon de tout mon coeur, faites, rossez, battez, comme il faut, votre femme ; je vous aiderai si vous le voulez.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	73	SGANARELLE	SGANARELLE	Il ne me plaît pas, moi.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	74	MONSIEUR-ROBERT	MONSIEUR ROBERT	Ah ! C'est une autre chose.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	75	SGANARELLE	SGANARELLE	Je la veux battre, si je le veux : et ne la veux pas battre, si je ne le veux pas.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	76	MONSIEUR-ROBERT	MONSIEUR ROBERT	Fort bien.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	77	SGANARELLE	SGANARELLE	C'est ma femme, et non pas la vôtre.	
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	I	II	78	MONSIEUR-ROBERT	MONSIEUR ROBERT	Sans doute.	
