piece	div1_nom	div1_num	div2_nom	div2_num	pos	SGANARELLE	MARTINE	MONSIEUR-ROBERT	VALÈRE	LUCAS	GÉRONTE	JACQUELINE	LUCINDE	LÉANDRE	THIBAUT	PERRIN
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	142	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	143	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	144	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	145	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	146	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	147	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	148	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	149	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	150	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	151	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	152	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	153	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	154	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	155	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	156	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	157	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	158	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	159	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	160	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	161	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	162	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	163	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	164	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	165	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	166	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	167	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	168	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	169	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	170	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	171	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	172	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	173	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	174	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	175	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	176	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	177	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	178	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	179	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	180	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	181	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	182	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	183	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	184	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	185	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	186	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	187	1	0	0	1	1	0	0	0	0	0	0
LE MÉDECIN MALGRÉ LUI, COMÉDIE.	ACTE I	1	SCÈNE V	5	188	1	0	0	1	1	0	0	0	0	0	0
