piece	div1_nom	div1_num	div2_nom	div2_num	pos	id	nom	texte	didascalie
Macbeth	Act 1	1	Scene 2	2	21	mac-ser.	Sergeant	                        <l xml:id="sha-mac102034F" n="34">              Yes;            </l>                        <l xml:id="sha-mac102035" n="35">              As sparrows eagles, or the hare the lion.            </l>                        <l xml:id="sha-mac102036" n="36">              If I say sooth, I must report they were            </l>                        <l xml:id="sha-mac102037" n="37">              As cannons overcharged with double cracks, so they            </l>                        <l xml:id="sha-mac102038" n="38">              Doubly redoubled strokes upon the foe:            </l>                        <l xml:id="sha-mac102039" n="39">              Except they meant to bathe in reeking wounds,            </l>                        <l xml:id="sha-mac102040" n="40">              Or memorize another Golgotha,            </l>                        <l xml:id="sha-mac102041" n="41">              I cannot tell.            </l>                        <l xml:id="sha-mac102042" n="42">              But I am faint, my gashes cry for help.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	22	Duncan	Duncan	                        <l xml:id="sha-mac102043" n="43">              So well thy words become thee as thy wounds;            </l>                        <l xml:id="sha-mac102044" n="44">              They smack of honour both. Go get him surgeons.              <didascalie>Exit Sergeant, attended.</didascalie></l>                        <l xml:id="sha-mac102045I" n="45">              Who comes here?              <didascalie>Enter Ross.</didascalie></l>                    	
Macbeth	Act 1	1	Scene 2	2	23	Malcolm	Malcolm	                        <l xml:id="sha-mac102045F" n="45">              The worthy thane of Ross.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	24	Lennox	Lennox	                        <l xml:id="sha-mac102046" n="46">              What a haste looks through his eyes!            </l>                        <l xml:id="sha-mac102047" n="47">              So should he look            </l>                        <l xml:id="sha-mac102048I" n="48">              That seems to speak things strange.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	25	Ross	Ross	                        <l xml:id="sha-mac102048F" n="48">              God save the king!            </l>                    	
Macbeth	Act 1	1	Scene 2	2	26	Duncan	Duncan	                        <l xml:id="sha-mac102049I" n="49">              Whence camest thou, worthy thane?            </l>                    	
Macbeth	Act 1	1	Scene 2	2	27	Ross	Ross	                        <l xml:id="sha-mac102049F" n="49">              From Fife, great king;            </l>                        <l xml:id="sha-mac102050" n="50">              Where the Norweyan banners flout the sky            </l>                        <l xml:id="sha-mac102051" n="51">              And fan our people cold.            </l>                        <l xml:id="sha-mac102052" n="52">              Norway himself, with terrible numbers,            </l>                        <l xml:id="sha-mac102053" n="53">              Assisted by that most disloyal traitor            </l>                        <l xml:id="sha-mac102054" n="54">              The thane of Cawdor, began a dismal conflict;            </l>                        <l xml:id="sha-mac102055" n="55">              Till that Bellona's bridegroom, lapped in proof,            </l>                        <l xml:id="sha-mac102056" n="56">              Confronted him with self-comparisons,            </l>                        <l xml:id="sha-mac102057" n="57">              Point against point rebellious, arm 'gainst arm,            </l>                        <l xml:id="sha-mac102058" n="58">              Curbing his lavish spirit: and, to conclude,            </l>                        <l xml:id="sha-mac102059I" n="59">              The victory fell on us.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	28	Duncan	Duncan	                        <l xml:id="sha-mac102059M" n="59">              Great happiness!            </l>                    	
Macbeth	Act 1	1	Scene 2	2	29	Ross	Ross	                        <l xml:id="sha-mac102059F" n="59">              That now            </l>                        <l xml:id="sha-mac102060" n="60">              Sweno, the Norways' king, craves composition;            </l>                        <l xml:id="sha-mac102061" n="61">              Nor would we deign him burial of his men            </l>                        <l xml:id="sha-mac102062" n="62">              Till he disbursed at Saint Colme's inch            </l>                        <l xml:id="sha-mac102063" n="63">              Ten thousand dollars to our general use.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	30	Duncan	Duncan	                        <l xml:id="sha-mac102064" n="64">              No more that thane of Cawdor shall deceive            </l>                        <l xml:id="sha-mac102065" n="65">              Our bosom interest: go pronounce his present death,            </l>                        <l xml:id="sha-mac102066" n="66">              And with his former title greet Macbeth.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	31	Ross	Ross	                        <l xml:id="sha-mac102067" n="67">              I'll see it done.            </l>                    	
Macbeth	Act 1	1	Scene 2	2	32	Duncan	Duncan	                        <l xml:id="sha-mac102068" n="68">              What he hath lost noble Macbeth hath won.              <didascalie>Exeunt.</didascalie></l>                    	
Macbeth	Act 1	1	__none__	__none__	33	__none__	__none__	__none__	A heath near Forres. Thunder.
Macbeth	Act 1	1	__none__	__none__	34	__none__	__none__	__none__	Enter the three Witches.
Macbeth	Act 1	1	Scene 3	3	35	mac-first-witch.	First Witch	                        <l xml:id="sha-mac103001" n="1">              Where hast thou been, sister?            </l>                    	
Macbeth	Act 1	1	Scene 3	3	36	mac-sec.-witch.	Second Witch	                        <l xml:id="sha-mac103002" n="2">              Killing swine.            </l>                    	
Macbeth	Act 1	1	Scene 3	3	37	mac-third-witch.	Third Witch	                        <l xml:id="sha-mac103003" n="3">              Sister, where thou?            </l>                    	
